pid,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,CAF_1,CAF_2,CAF_3,CAF_4,CAF_5,T4_1,T4_2,T4_3,T4_4,T4_5,T8_1,T8_2,T8_3,T8_4,T8_5,Treg_1,Treg_2,Treg_3,Treg_4,Treg_5,B_1,B_2,B_3,B_4,B_5,NEU_1,NEU_2,NEU_3,NEU_4,NEU_5,MO_1,MO_2,MO_3,MO_4,MO_5,MAC_1,MAC_2,MAC_3,MAC_4,MAC_5,DC_1,DC_2,DC_3,DC_4,DC_5
Q8BHB0,35525.08594,25625.00391,22036.29688,35175.03906,26170.23242,30024.95898,26755.09766,25108.47266,26653.06836,32873.57031,26416.48438,23990.97656,30711.86328,32882.22266,18233.91797,30755.05469,19790.41602,23908.09961,18659.40625,24568.12891,39532.01563,28230.07813,26372.09766,21439.19727,18628.69336,43831.76563,19004.99805,43107.82813,25097.18945,23300.40039,19993.28125,23856.47461,29816.80859,21995.86719,32860.60156,30226.68945,25878.84961,42498.21094,23884.60938,28716.89844,20927.30469,19207.69531,31698.6582,30113.07227,33214.30078,16632.73828,15629.42676,21588.7793,19222.125,16223.59082
Q8BHB4,39509.59766,98554.52344,69138.875,72145.14063,144433.2344,83977.41406,74648.82031,104042.6016,25955.73828,93688.28906,90333.92188,98127.6875,88379.21094,96730.39844,99618.22656,120816.6406,117815.2344,117140.5547,124511.4219,116195.6641,88471.91406,93610.03906,86599.03906,95059.22656,113222.8047,105742.3047,101564.7344,118618.1016,99858.08594,103069.1875,28051.44336,90450.32031,37984.35156,29951.1582,30547.0918,110416.9141,124601.3359,114553.0547,108209.7266,114379.9297,66505.1875,91978.91406,92061.15625,114923.1875,77566.13281,88195.25,67449.00781,80746.02344,72905.59375,82811.17188
Q8BHC4,74197.98438,72776.0625,61278.5,72523.17188,69080.21875,135549.8281,102159.7031,113676.8203,114060.5547,93285.36719,24842.73438,34486.8125,31000.62305,21852.1875,14622.44043,26081.13672,19475.89648,41057.15234,29678.15625,24211.375,30074.87695,36543.39063,28137.33594,23674.44531,22462.51172,27879.18945,23575.63672,49675.45313,20316.22461,29426.07813,39114.32031,55328.50781,56904.94922,33169.80469,33369.89453,38302.25,42455.58594,45472.89453,38043.02734,32255.24805,61361.02734,56292.82813,59119.51953,52876.5,40283.73047,57961.34766,56117.72266,71539.64063,61768.68359,40584.15625
Q8BHC9,24410.48633,30607.77148,31276.23633,36513.64063,34165.26563,88107.03125,87275.89844,104245.2734,73885.32813,144444.5,29249.56055,49340.33203,32986.61328,32162.54492,28459.11523,29224.37695,22695.57227,21680.92383,18573.22656,31506.19531,47408.80469,17313.04297,33231.58594,31151.0957,19835.33984,38896.31641,27098.94922,36834.73828,23907.65625,25420.30469,23580.12695,22333.53906,32004.58594,26269.77344,35505.03516,19711.375,20912.42383,25282.53516,18070.66797,28113.0918,24099.34766,39027.53906,21437.25586,25276.75391,21646.625,25090.57031,27140.14453,20692.43555,14062.24316,27626.15234
Q8BHD7,90208.85156,107904.4375,114038.2344,93231.24219,126196.0078,119462.7578,137637.5625,138853.7031,174085.8125,101623.6953,227961.0156,231113.0469,208477.8594,233498.4688,210717.6719,246144.3906,211806.1094,206630.3281,240030.7969,231019.5781,225790.9219,202896.7656,201688.1875,256885.5313,165015.6094,256857.3438,304659.2188,318642.25,277419.3438,281587.875,190113.1719,214047.4375,206342.875,229040.3906,195111.375,194701.4063,202363.125,196675.6406,217044.1094,213135.9063,182881.8906,165804.1875,191872.8906,193220.0156,216943.4063,204909.125,190248.4531,134291.2344,207408.4375,189807.5469
Q8BHE8,167418.9844,107223.125,121260.8594,90781.8125,55187.65625,125075.5078,70654.6875,72651.96094,74950.53906,49728.51172,31708.21484,39202.87109,71215.02344,37682.21875,22861.44531,18548.79688,29242.63867,21774.76953,27870.86133,26792.10547,25934.45508,34077.79297,45724.52344,27954.09375,18774.64453,35611.08984,36495.08594,32253.05273,18722.82617,30907.33789,36981.22266,23492.6875,31331.21875,21144.45117,29231.11914,95397.89844,13578.67773,58235.36719,21665.67969,26017.09766,27751.69531,72366,87715.00781,64277.27344,24826.13672,96798.58594,24130.12891,109939.7188,46174.20703,20269.43555
Q8BHF7,80784.14063,65193.96094,67818.57031,70842.96875,56661.83203,87860.54688,45744.20313,59539.83203,59581.95703,45879.41797,24525.85742,25770.43164,35468.86328,25984.68164,15625.66699,22002.51367,26404.14063,18578.28516,33091.18359,26561.39648,29121.20703,43356.08594,25115.92578,24515.74414,28136.57227,21799.32617,25082.29492,60205.64453,23431.8125,23086.9668,67164.35156,50716.88281,63950.25781,20957.38672,27174.75781,56432.69141,20858.52539,42503.09766,22169.92773,77068.83594,63434.45703,51809.58984,60161.00781,55570.05859,54919.01172,59270.95703,48862.13672,84406.72656,53653.21875,55714.57422
Q8BHG1,33727.35938,25420.55664,25909.23047,28936.49219,25817.73047,91699.04688,101687.9375,79459.97656,102647.8984,79091.26563,104785.4063,104482.7266,87596.10156,89976.23438,94071.4375,103620.625,86774.61719,98463.49219,77414.60938,99940.76563,110273.5078,116258.6641,116145.5938,108398.1641,112591.3828,131778.3125,123165.7891,104166.1953,122345.25,120063.9609,152938.0156,109953.0938,108853.2656,145535.3906,153984.5156,130697.0234,125860.7734,121138.4375,119830.5313,154154.3906,136514.875,129892.9219,115125.5938,127750.2813,138100.3438,142868.5313,122935.7578,121100.0078,130054.1016,161115.6563
Q8BHG2,34049.26563,23742.25977,17698.75781,32871.91797,25814.00977,45492.31641,46747.60156,29453.71289,21690.09766,16867.24609,33547.03125,25438.07227,26319.76367,39232.91797,38085.80078,27048.92773,29755.39648,64216.41406,54395.51953,47879.51953,25509.18359,27658.6582,48994.32422,23347.7793,23382.65625,25004.39063,70777.34375,30332.39453,19869.01367,71215.96875,60081.00781,40072.82422,39458.33594,52046.89063,32450.87109,23472.50781,31160.52734,18221.95313,41215.14063,35006.77344,17239.25781,57280.125,38055.67969,77820.14844,44979.64063,59088.10938,46863.13281,24443.62109,58844.87891,54972.98438
Q8BHG9,34129.44141,32748.61914,28073.5918,21595.54492,46056.90625,19521.41992,32552.32031,34969.72266,46405.60156,20291.3418,66278.64063,63911.96875,59660.26953,54145.33203,62297.74219,65716.55469,49818.36719,59917.91797,59941.17188,67133.27344,28423.65625,55920.67969,54371.03906,50064.84375,54010.13281,72103.375,74706.08594,48906.24609,73880.25,65691.79688,59583.84766,46266.32813,47316.32031,62212.35156,62917.91016,57463.94922,52084.81641,41733.76563,58974.32031,59960.03516,51634.36719,32806.23047,31177.60938,31655.14453,56894.60547,40291.61719,31369.86719,31497.30273,32765.07617,49823.96875
