"pid","gene","genes"
"Q64727","Vcl","Vcl"
"Q64729","Tgfbr1","Tgfbr1"
"Q64731","Foxl1","Foxl1 Fkh6 Fkhl11"
"Q64732","Foxb1","Foxb1 Fkh5 Foxb1a Foxb1b Mf3"
"Q64735","Cr1l","Cr1l Crry Cry"
"Q64737","Gart","Gart"
"Q64739","Col11a2","Col11a2"
"Q64FW2","Retsat","Retsat Ppsig"
"Q64GA5","Pla2g4c","Pla2g4c"
"Q65CL1","Ctnna3","Ctnna3 Catna3"
"Q65Z40","Wapl","Wapl Kiaa0261 Wapal"
"Q66GT5","Ptpmt1","Ptpmt1 Plip"
"Q66JQ7","Knl1","Knl1 Casc5"
"Q66JT0","Wee2","Wee2 Wee1b"
"Q66JT1","Lrrc8e","Lrrc8e"
"Q66JW3","Tox","Tox"
"Q66JY2","Ino80d","Ino80d"
"Q66L42","Map3k10","Map3k10"
"Q66L44","Cbarp","Cbarp Barp Dos R29144/1"
"Q66PY1","Scube3","Scube3"
"Q66T02","Plekhg5","Plekhg5 Kiaa0720 Syx"
"Q66X05","Nlrp4f","Nlrp4f Nalp4f"
"Q66X22","Nlrp9b","Nlrp9b Nalp9 Nalp9b"
"Q672J9","Nox3","Nox3"
"Q67BJ4","A4galt","A4galt"
"Q67BT3","Slc13a5","Slc13a5 Nact"
"Q67E05","Bpi","Bpi"
"Q67FY2","Bcl9l","Bcl9l B9l"
"Q684R7","Frem1","Frem1"
"Q68ED2","Grm7","Grm7 Gprc1g Mglur7"
"Q68ED3","Tent4b","Tent4b Papd5"
"Q68ED7","Crtc1","Crtc1 Kiaa0616 Mect1 Torc1"
"Q68EF0","Rab3ip","Rab3ip Rabin8"
"Q68EF4","Grm4","Grm4 Gprc1d Mglur4"
"Q68FD5","Cltc","Cltc"
"Q68FD7","Fnip1","Fnip1 Kiaa1961"
"Q68FE2","Atg9a","Atg9a Apg9l1"
"Q68FE9","Tshz2","Tshz2 Kiaa4248 Sdccag33l Tsh2 Zfp218 Znf218"
"Q68FF6","Git1","Git1"
"Q68FH0","Pkp4","Pkp4 Armrp"
"Q68FL4","Ahcyl2","Ahcyl2"
"Q68FL6","Mars1","Mars1 Mars"
"Q68G58","Apex2","Apex2 Ape2"
"Q68SA9","Adamts7","Adamts7"
"Q68SN8","Fcrl5","Fcrl5 Fcrh3"
"Q69Z26","Cntn4","Cntn4 Kiaa3024"
"Q69Z28","Adamts16","Adamts16 Kiaa2029"
"Q69Z36","Mex3b","Mex3b Kiaa2009 Rkhd3"
"Q69Z37","Samd9l","Samd9l Kiaa2005"
"Q69Z38","Peak1","Peak1 Kiaa2002 Sgk269"
"Q69Z66","Mysm1","Mysm1 Kiaa1915"
"Q69Z69","Esco1","Esco1 Kiaa1911"
"Q69Z98","Brsk2","Brsk2 Kiaa4256 Sada"
"Q69ZA1","Cdk13","Cdk13 Cdc2l5 Kiaa1791"
"Q69ZF3","Gba2","Gba2 Kiaa1605"
"Q69ZF7","Cnnm4","Cnnm4 Acdp4 Kiaa1592"
"Q69ZI1","Sh3rf1","Sh3rf1 Kiaa1494 Posh Posh1 Sh3md2"
"Q69ZK0","Prex1","Prex1 Kiaa1415"
"Q69ZK6","Jmjd1c","Jmjd1c Jhdm2c Kiaa1380"
"Q69ZK9","Nlgn2","Nlgn2 Kiaa1366"
"Q69ZM6","Stk36","Stk36 Kiaa1278"
"Q69ZN6","Gnptab","Gnptab Gnpta Kiaa1208"
"Q69ZN7","Myof","Myof Fer1l3 Kiaa1207"
"Q69ZP3","Pnkd","Pnkd Brp17 Kiaa1184 Mr1 Tahccp2 Fksg19 MNCb-5687"
"Q69ZQ1","Myorg","Myorg Kiaa1161 Net37"
"Q69ZR2","Hectd1","Hectd1 Kiaa1131 Opm"
"Q69ZR9","Tasor","Tasor D14Abb1e Fam208a Kiaa1105"
"Q69ZS0","Pdzrn3","Pdzrn3 Kiaa1095 Semcap3"
"Q69ZS6","Sv2c","Sv2c Kiaa1054"
"Q69ZS7","Hbs1l","Hbs1l Hbs1 Kiaa1038"
"Q69ZS8","Kazn","Kazn Kaz Kiaa1026"
"Q69ZT1","Fan1","Fan1 Kiaa1018 Mtmr15"
"Q69ZU6","Thsd7a","Thsd7a Gm837 Kiaa0960"
"Q69ZW3","Ehbp1","Ehbp1 Kiaa0903"
"Q69ZX6","Morc2a","Morc2a Kiaa0852 Zcwcc1"
"Q69ZX8","Ablim3","Ablim3 Kiaa0843"
"Q69ZZ9","Macf1","Macf1 Kiaa0754"
"Q6A009","Ltn1","Ltn1 Kiaa0714 Lister Rnf160 Zfp294 Znf294"
"Q6A026","Pds5a","Pds5a Kiaa0648"
"Q6A028","Swap70","Swap70 Kiaa0640"
"Q6A037","N4bp1","N4bp1 Kiaa0615"
"Q6A051","Atrnl1","Atrnl1 Alp Atrnl Kiaa0534"
"Q6A065","Cep170","Cep170 Kiaa0470"
"Q6A068","Cdc5l","Cdc5l Kiaa0432"
"Q6A070","Togaram1","Togaram1 Fam179b Kiaa0423"
"Q6A078","Cep290","Cep290 Kiaa0373 Nphp6"
"Q6A0D4","Rftn1","Rftn1 Kiaa0084"
"Q6A4J8","Usp7","Usp7 Hausp"
"Q6A4L0","Slc22a13","Slc22a13 Orctl3"
"Q6AW69","Cgnl1","Cgnl1 Jacop Kiaa1749"
"Q6AXC6","Ddx11","Ddx11"
"Q6AZB0","Boc","Boc"
"Q6DFV1","Ncapg2","Ncapg2 Luzp5 Mtb"
"Q6DFV3","Arhgap21","Arhgap21 Arhgap10 Kiaa1424"
"Q6DFV5","Helz","Helz Kiaa0054"
"Q6DFV7","Ncoa7","Ncoa7"
"Q6DFW0","C9orf72","C9orf72 Dennd9 Dennl72"
"Q6DFW4","Nop58","Nop58 Nol5"
"Q6DFW5","Atp11b","Atp11b"
"Q6DFX2","Antxr2","Antxr2"
"Q6DFZ1","Gbf1","Gbf1"
"Q6DIA7","Brme1","Brme1 Meiok21"
"Q6DIB5","Megf10","Megf10"
"Q6DIC0","Smarca2","Smarca2 Baf190b Brm Snf2a Snf2l2"
"Q6DID3","Scaf8","Scaf8 Kiaa1116 Rbm16"
"Q6DID7","Wls","Wls Gpr177"
"Q6DR98","Nrg1","Nrg1"
"Q6DTY7","Pfkfb4","Pfkfb4"
"Q6DVA0","Lemd2","Lemd2 Lem2"
"Q6DYE8","Enpp3","Enpp3"
"Q6E1M8","Awat2","Awat2 Dgat2l4 Ws"
"Q6EBV9","Atg9b","Atg9b Apg9l2 Nos3as"
"Q6EDY6","Carmil1","Carmil1 Carmil Lrrc16 Lrrc16a"
"Q6F3F9","Adgrg6","Adgrg6 Dreg Gm222 Gpr126"
"Q6GQS1","Slc25a23","Slc25a23 Scamc3"
"Q6GQT0","Cdc14a","Cdc14a"
"Q6GQT1","A2m","A2m A2mp"
"Q6GQT6","Scap","Scap Kiaa0199"
"Q6GQX6","Anks6","Anks6 Gm635 Samd6"
"Q6GSS7","Hist2h2aa1;","Hist2h2aa1; Hist2h2aa2"
"Q6GYP7","Ralgapa1","Ralgapa1 Garnl1 Kiaa0884 Tulip1"
"Q6HA09","Astl","Astl Sas1b"
"Q6IMP4","Panx2","Panx2"
"Q6IQX7","Chpf","Chpf Css2 D1Bwg1363e"
"Q6IQX8","Znf219","Znf219 Zfp219"
"Q6IR34","Gpsm1","Gpsm1 Ags3 C10a"
"Q6IR42","Zcwpw1","Zcwpw1 Gm1053"
"Q6IRU5","Cltb","Cltb"
"Q6IS41","Slc25a47","Slc25a47 Hdmcp"
"Q6IUP1","Sohlh1","Sohlh1 Gm110 Tohlh1"
"Q6J1H4","Utf1","Utf1"
"Q6K1E7","Ggnbp1","Ggnbp1"
"Q6KAQ7","Zzz3","Zzz3"
"Q6KAS7","Znf521","Znf521 Evi3 Zfp521"
"Q6KAU8","Atg16l2","Atg16l2"
"Q6KCD5","Nipbl","Nipbl Scc2"
"Q6NS45","Ccdc66","Ccdc66"
"Q6NS52","Dgkb","Dgkb Kiaa0718"
"Q6NS82","Retreg2","Retreg2 Fam134a"
"Q6NSQ9","G6pc3","G6pc3 Ugrp"
"Q6NTA4","Rragb","Rragb"
"Q6NVD0","Frem2","Frem2 Nv1"
"Q6NVD9","Bfsp2","Bfsp2"
"Q6NVE8","Wdr44","Wdr44 RPH11"
"Q6NVF0","Ocrl","Ocrl Ocrl1"
"Q6NVF4","Helb","Helb"
"Q6NVF9","Cpsf6","Cpsf6"
"Q6NVG1","Lpcat4","Lpcat4 Agpat7 Aytl3"
"Q6NVG5","Mreg","Mreg Dsu Gm974 Wdt2"
"Q6NWV3","Ift122","Ift122 Wdr10"
"Q6NWW9","Fndc3b","Fndc3b Fad104 Kiaa4164 Ns5abp37"
"Q6NXH3","Gpbp1","Gpbp1 Gpbp"
"Q6NXK7","Dpp10","Dpp10"
"Q6NXK8","Asic1","Asic1 Accn2 Asic Bnac2"
"Q6NXW6","Rad17","Rad17"
"Q6NXY9","Polr3g","Polr3g"
"Q6NY15","Tsga10","Tsga10"
"Q6NZB1","Prmt6","Prmt6 Hrmt1l6"
"Q6NZC7","Sec23ip","Sec23ip"
"Q6NZG4","Ddias","Ddias Noxin"
"Q6NZJ6","Eif4g1","Eif4g1"
"Q6NZK8","Ptpdc1","Ptpdc1"
"Q6NZM9","Hdac4","Hdac4"
"Q6NZP1","Zranb3","Zranb3"
"Q6NZQ4","Paxip1","Paxip1 Ptip"
"Q6NZQ8","Marchf1","Marchf1 March1"
"Q6P069","Sri","Sri"
"Q6P073","Ube2j2","Ube2j2 Ncube2"
"Q6P1C6","Lrig3","Lrig3 Kiaa3016"
"Q6P1D5","Sez6l","Sez6l Aig1l Kiaa0927"
"Q6P1D7","Slx4","Slx4 Btbd12"
"Q6P1E1","Zmiz1","Zmiz1 Rai17 Zimp10"
"Q6P1E7","Primpol","Primpol"
"Q6P1G2","Kdm2b","Kdm2b Fbl10 Fbxl10 Jhdm1b Kiaa3014"
"Q6P1H1","Cyb561a3","Cyb561a3 Cybasc3"
"Q6P1H6","Ankle2","Ankle2 D5Ertd585e Kiaa0692 Lem4"
"Q6P1I6","Psd2","Psd2 Efa6c"
"Q6P1Y8","Inpp4b","Inpp4b"
"Q6P2K6","Ppp4r3a","Ppp4r3a Kiaa2010 Pp4r3a Smek1"
"Q6P2L6","Nsd3","Nsd3 Whsc1l1"
"Q6P3D0","Nudt16","Nudt16"
"Q6P3E7","Hdac10","Hdac10"
"Q6P4S6","Sik3","Sik3 Kiaa0999 Qsk"
"Q6P4T0","Atg2a","Atg2a Kiaa0404"
"Q6P4T1","Snx19","Snx19 Kiaa0254"
"Q6P4T2","Snrnp200","Snrnp200 Kiaa0788"
"Q6P549","Inppl1","Inppl1 Ship2"
"Q6P5D8","Smchd1","Smchd1 Kiaa0650"
"Q6P5E4","Uggt1","Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr"
"Q6P5E6","Gga2","Gga2 Kiaa1080"
"Q6P5E8","Dgkq","Dgkq"
"Q6P5F6","Slc39a10","Slc39a10 Kiaa1265 Zip10"
"Q6P5F9","Xpo1","Xpo1 Crm1"
"Q6P5G0","Mapk4","Mapk4 Erk4 Prkm4"
"Q6P5G3","Mbtd1","Mbtd1"
"Q6P5H2","Nes","Nes"
"Q6P6J4","Alkbh2","Alkbh2 Abh2"
"Q6P6M7","Sepsecs","Sepsecs D5Ertd135e"
"Q6P6N5","Spred3","Spred3"
"Q6P7F1","Mpp4","Mpp4 Dlg6"
"Q6P7W0","Senp6","Senp6 Kiaa0797 Susp1"
"Q6P7W2","Shkbp1","Shkbp1 Sb1"
"Q6P8U6","Pnlip","Pnlip"
"Q6P8X1","Snx6","Snx6"
"Q6P8X6","Usp50","Usp50"
"Q6P8X9","Cfap126","Cfap126 Fltp"
"Q6P8Z1","Mycb","Mycb Bmyc"
"Q6P902","Txndc2","Txndc2 Sptrx Sptrx1 Trx4"
"Q6P926","Spata24","Spata24 Tipt Tipt2"
"Q6P9J9","Ano6","Ano6 Tmem16f"
"Q6P9K9","Nrxn3","Nrxn3"
"Q6P9N1","Hycc1","Hycc1 Drctnnb1a Fam126a"
"Q6P9P6","Kif11","Kif11"
"Q6P9Q4","Fhod1","Fhod1 Fhos1"
"Q6P9Q6","Fkbp15","Fkbp15 Fkbp133 Kiaa0674"
"Q6P9R2","Oxsr1","Oxsr1 Osr1"
"Q6P9R4","Arhgef18","Arhgef18 Kiaa0521"
"Q6P9S0","Mtss2","Mtss2 Mtss1l"
"Q6P9S1","Atmin","Atmin Kiaa0431"
"Q6P9S7","Galnt10","Galnt10"
"Q6P9Z1","Smarcd3","Smarcd3 Baf60c"
"Q6PA06","Atl2","Atl2 Arl6ip2"
"Q6PAC3","Dcaf13","Dcaf13 Gm83 Wdsof1"
"Q6PAC4","Pcare","Pcare"
"Q6PAJ1","Bcr","Bcr Kiaa3017"
"Q6PAK3","Prmt8","Prmt8 Hrmt1l4"
"Q6PAL1","Draxin","Draxin"
"Q6PAQ4","Rexo4","Rexo4 Gm111 Pmc2 Xpmc2h"
"Q6PAR0","Klhdc10","Klhdc10 Kiaa0265"
"Q6PAR5","Gapvd1","Gapvd1 Gapex5 Kiaa1521"
"Q6PAV2","Herc4","Herc4"
"Q6PB44","Ptpn23","Ptpn23 Kiaa1471"
"Q6PB60","Gprasp3","Gprasp3 Bhlhb9 Kiaa1701"
"Q6PB66","Lrpprc","Lrpprc Lrp130"
"Q6PB75","Tent4a","Tent4a Papd7 Pols"
"Q6PB93","Galnt2","Galnt2"
"Q6PB97","Fbxl19","Fbxl19"
"Q6PCM1","Kdm3a","Kdm3a Jhdm2a Jmjd1a Kiaa0742"
"Q6PCN3","Ttbk1","Ttbk1"
"Q6PCN7","Hltf","Hltf Smarca3 Snf2l3 Zbu1"
"Q6PCP5","Mff","Mff"
"Q6PCQ0","Iqce","Iqce"
"Q6PCX7","Rgma","Rgma"
"Q6PCX9","Trim37","Trim37 Kiaa0898"
"Q6PD03","Ppp2r5a","Ppp2r5a"
"Q6PD10","Ip6k1","Ip6k1 Ihpk1"
"Q6PD21","Shb","Shb"
"Q6PD31","Trak1","Trak1"
"Q6PDG5","Smarcc2","Smarcc2 Baf170"
"Q6PDG8","Mon1a","Mon1a"
"Q6PDI5","Ecpas","Ecpas Ecm29 Kiaa0368"
"Q6PDK2","Kmt2d","Kmt2d Mll2 Mll4"
"Q6PDM1","Msl1","Msl1 Msl1l1"
"Q6PDM2","Srsf1","Srsf1 Sfrs1"
"Q6PDM4","Iho1","Iho1 Ccdc36"
"Q6PDN3","Mylk","Mylk"
"Q6PDQ2","Chd4","Chd4"
"Q6PDS3","Sarm1","Sarm1 Kiaa0524"
"Q6PDX6","Rnf220","Rnf220"
"Q6PDY2","Ado","Ado Gm237"
"Q6PE15","Abhd10","Abhd10"
"Q6PE84","Stoml3","Stoml3 Sro"
"Q6PE87","Cfap206","Cfap206"
"Q6PEE3","Rrm2b","Rrm2b P53r2"
"Q6PEM8","Slc46a1","Slc46a1 D11Ertd18e Hcp1 Pcft"
"Q6PER3","Mapre3","Mapre3"
"Q6PF93","Pik3c3","Pik3c3 Vps34"
"Q6PFD5","Dlgap3","Dlgap3 Dap3"
"Q6PFD6","Kif18b","Kif18b"
"Q6PFD9","Nup98","Nup98"
"Q6PFE3","Rad54b","Rad54b"
"Q6PFG8","Olig3","Olig3 Bhlhb7"
"Q6PFR5","Tra2a","Tra2a"
"Q6PFX7","Nyap1","Nyap1"
"Q6PFX9","Tnks","Tnks Tnks1"
"Q6PFY1","Fchsd1","Fchsd1"
"Q6PFY8","Trim45","Trim45"
"Q6PFY9","Cdc14b","Cdc14b"
"Q6PGB6","Naa50","Naa50 Mak3 Nat13"
"Q6PGB8","Smarca1","Smarca1 Snf2l"
"Q6PGC1","Dhx29","Dhx29"
"Q6PGD0","Atraid","Atraid Apr3"
"Q6PGG6","Gnl3l","Gnl3l"
"Q6PGK7","Chst10","Chst10"
"Q6PGL7","Washc2","Washc2 D6Wsu116e Fam21 Kiaa0592"
"Q6PGN1","Erfe","Erfe C1qtnf15 Ctrp15 Fam132b"
"Q6PGN3","Dclk2","Dclk2 Dcamkl2"
"Q6PH08","Erc2","Erc2 Cast1 D14Ertd171e Kiaa0378"
"Q6PHN9","Rab35","Rab35"
"Q6PHS9","Cacna2d2","Cacna2d2 Kiaa0558"
"Q6PHU5","Sort1","Sort1"
"Q6PHZ2","Camk2d","Camk2d Kiaa4163"
"Q6PHZ5","Rbm15b","Rbm15b"
"Q6PHZ8","Kcnip4","Kcnip4 Calp Kchip4"
"Q6PIC6","Atp1a3","Atp1a3"
"Q6PIE5","Atp1a2","Atp1a2"
"Q6PIJ4","Nfrkb","Nfrkb"
"Q6PIX5","Rhbdf1","Rhbdf1 Dist1 Irhom1 Kiaa4242"
"Q6PKN7","Inca1","Inca1"
"Q6PR54","Rif1","Rif1"
"Q6PZD9","Cebpe","Cebpe Gm294"
"Q6PZE0","Muc19","Muc19"
"Q6Q2Z6","Acot5","Acot5"
"Q6Q473","Clca4a","Clca4a Clca6"
"Q6Q477","Atp2b4","Atp2b4"
"Q6Q783","Kmt5c","Kmt5c Suv420h2"
"Q6Q899","Rigi","Rigi Ddx58"
"Q6QI06","Rictor","Rictor Kiaa1999"
"Q6QIY3","Scn10a","Scn10a Sns"
"Q6QLQ4","Clec7a","Clec7a Bgr Clecsf12 Dectin1"
"Q6QNU9","Tlr12","Tlr12 Gm1365 Tlr11"
"Q6QWF9","Camk2n1","Camk2n1"
"Q6R0H6","Gnas","Gnas Gnas1"
"Q6R0H7","Gnas","Gnas Gnas1"
"Q6R2P8","Neil2","Neil2 Gm1212"
"Q6R3M4","Poli","Poli Rad30b"
"Q6R5N8","Tlr13","Tlr13"
"Q6R5P0","Tlr11","Tlr11 Gm287 Tlr12"
"Q6R6I7","Rxfp1","Rxfp1 Gm1018 Lgr7"
"Q6R891","Ppp1r9b","Ppp1r9b"
"Q6RHR9","Magi1","Magi1 Baiap1 Bap1"
"Q6RI63","Fam120b","Fam120b Ccpg Kiaa1838"
"Q6RKD8","Flrt1","Flrt1"
"Q6RT24","Cenpe","Cenpe"
"Q6S5C2","Gnptg","Gnptg Mdcp1"
"Q6S5G4","Gja6","Gja6"
"Q6S5J6","Krit1","Krit1 Ccm1"
"Q6S5L9","Shc4","Shc4 Shcd"
"Q6S7F2","E2f7","E2f7"
"Q6SJ95","Tbpl2","Tbpl2 Tbp2 Trf3"
"Q6SJE0","Gfral","Gfral Gral"
"Q6SJQ0","Cd300a","Cd300a Clm8 Lmir1 Mcpir1"
"Q6SJQ5","Cd300ld3","Cd300ld3 Cd300lh Clm3 Lmir7"
"Q6SJQ7","Cd300lf","Cd300lf Clm1 Lmir3"
"Q6SKR2","N6amt1","N6amt1 Hemk2 Kmt9 Pred28"
"Q6SP97","Enkur","Enkur"
"Q6T264","Maml1","Maml1 Kiaa0200"
"Q6T3U4","Npc1l1","Npc1l1"
"Q6T707","Scd4","Scd4"
"Q6TDU8","Dnai7","Dnai7 Casc1 Cfap94 Las1"
"Q6TEK5","Vkorc1l1","Vkorc1l1"
"Q6TL19","Gucy2g","Gucy2g"
"Q6TXD4","Dnmbp","Dnmbp Kiaa1010 Tuba"
"Q6U7H8","Pip5kl1","Pip5kl1 Pipkh"
"Q6U7R4","Timd4","Timd4 Tim4"
"Q6UJY2","Slc9c1","Slc9c1 Gm610 Slc9a10"
"Q6UQ17","Atp8b3","Atp8b3"
"Q6URW6","Myh14","Myh14"
"Q6V3W6","Drc7","Drc7 Ccdc135 Gm770 Srgl"
"Q6V4S5","Sdk2","Sdk2 Kiaa1514"
"Q6VGS5","Ccdc88c","Ccdc88c Daple"
"Q6VH22","Ift172","Ift172 Kiaa1179 Wim"
"Q6VMN6","Prlhr","Prlhr Gm339 Gpr10"
"Q6VN19","Ranbp10","Ranbp10 Kiaa1464"
"Q6VNB8","Wdfy3","Wdfy3"
"Q6VNS1","Ntrk3","Ntrk3 TrkC"
"Q6VUP9","Tfap2e","Tfap2e Tcfap2e"
"Q6VV64","Kcnk18","Kcnk18 Tresk-2 Tresk2"
"Q6VVW5","Npr2","Npr2"
"Q6VVW9","Cyp2r1","Cyp2r1"
"Q6VY05","Dnd1","Dnd1 Rbms4 Ter"
"Q6VYH9","Hsh2d","Hsh2d Alx"
"Q6VZZ7","Opn5","Opn5 Gpr136 Pgr12"
"Q6WKZ7","Nostrin","Nostrin Daip2"
"Q6WKZ8","Ubr2","Ubr2 Kiaa0349"
"Q6WQJ1","Dagla","Dagla Kiaa0659 Nsddr"
"Q6X1Y6","Asic3","Asic3 Accn3 Drasic"
"Q6X6Z7","Tekt3","Tekt3"
"Q6X786","Zpbp2","Zpbp2"
"Q6X893","Slc44a1","Slc44a1 Cd92 Cdw92 Ctl1"
"Q6XBJ3","Onecut2","Onecut2 Oc2"
"Q6XJV4","Cd200r4","Cd200r4"
"Q6XP49","Glis3","Glis3"
"Q6XUX1","Dstyk","Dstyk Ripk5"
"Q6XVG2","Cyp2c54","Cyp2c54"
"Q6Y4S4","Kiss1","Kiss1"
"Q6Y5D8","Arhgap10","Arhgap10"
"Q6Y685","Tacc1","Tacc1"
"Q6Y7W8","Gigyf2","Gigyf2 Kiaa0642 Perq2 Tnrc15"
"Q6YGZ1","Hpse","Hpse Hpa"
"Q6ZPE2","Sbf1","Sbf1 Kiaa3020 Mtmr5"
"Q6ZPF3","Tiam2","Tiam2 Kiaa2016 Stef"
"Q6ZPF4","Fmnl3","Fmnl3 Frl2 Kiaa2014"
"Q6ZPI0","Jade1","Jade1 Kiaa1807 Phf17"
"Q6ZPI3","Lcor","Lcor Kiaa1795 Mlr2"
"Q6ZPJ3","Ube2o","Ube2o Kiaa1734"
"Q6ZPK0","Phf21a","Phf21a Bhc80 Kiaa1696 Pftf1"
"Q6ZPQ6","Pitpnm2","Pitpnm2 Kiaa1457 Nir3"
"Q6ZPR5","Smpd4","Smpd4 Kiaa1418"
"Q6ZPS2","Carns1","Carns1 Atpgd1 Kiaa1394"
"Q6ZPS6","Ankib1","Ankib1 Kiaa1386"
"Q6ZPV2","Ino80","Ino80 Inoc1 Kiaa1259"
"Q6ZPY2","Smg5","Smg5 Est1b Kiaa1089"
"Q6ZPY7","Kdm3b","Kdm3b Jhdm2b Jmjd1b Kiaa1082"
"Q6ZPZ3","Zc3h4","Zc3h4 Kiaa1064"
"Q6ZQ08","Cnot1","Cnot1 Kiaa1007"
"Q6ZQ11","Chsy1","Chsy1 Kiaa0990"
"Q6ZQ29","Taok2","Taok2 Kiaa0881"
"Q6ZQ58","Larp1","Larp1 Kiaa0731 Larp"
"Q6ZQ88","Kdm1a","Kdm1a Aof2 Kiaa0601 Lsd1"
"Q6ZQ89","Marchf6","Marchf6 Kiaa0597 March6"
"Q6ZQ93","Usp34","Usp34 Kiaa0570 Murr2"
"Q6ZQB6","Ppip5k2","Ppip5k2 Hisppd1 Kiaa0433 Vip2"
"Q6ZQE4","Nemp1","Nemp1 Kiaa0286 Tmem194 Tmem194a"
"Q6ZQF0","Topbp1","Topbp1 Kiaa0259"
"Q6ZQF7","Jade2","Jade2 Kiaa0239 Phf15"
"Q6ZQJ5","Dna2","Dna2 Dna2l Kiaa0083"
"Q6ZQK0","Ncapd3","Ncapd3 Kiaa0056"
"Q6ZQK5","Acap2","Acap2 Centb2 Kiaa0041"
"Q6ZQL4","Wdr43","Wdr43 Kiaa0007"
"Q6ZQM0","Rffl","Rffl"
"Q6ZQM8","Ugt1a7","Ugt1a7 Ugt1a7c"
"Q6ZWN5","Rps9","Rps9"
"Q6ZWQ0","Syne2","Syne2"
"Q6ZWR4","Ppp2r2b","Ppp2r2b"
"Q6ZWR6","Syne1","Syne1"
"Q6ZWS8","Spop","Spop Pcif1"
"Q6ZWU9","Rps27","Rps27"
"Q6ZWV3","Rpl10","Rpl10 Qm"
"Q6ZWV7","Rpl35","Rpl35"
"Q6ZWX6","Eif2s1","Eif2s1 Eif2a"
"Q6ZWY6","Ube2d2b","Ube2d2b"
"Q6ZWY9","H2bc4","H2bc4 Hist1h2bc; H2bc6 Hist1h2be; H2bc8 Hist1h2bg"
"Q704Y3","Trpv1","Trpv1"
"Q70FJ1","Akap9","Akap9 Kiaa0803"
"Q70IV5","Synm","Synm Dmn Kiaa0353"
"Q70KF4","Cmya5","Cmya5 Sr553 Srfsd Tims"
"Q70KY4","Foxo6","Foxo6"
"Q70UZ7","Vwa2","Vwa2 Amaco"
"Q715T0","Nme8","Nme8 Sptrx2 Txndc3"
"Q71FD5","Znrf2","Znrf2"
"Q71KT5","Tm7sf2","Tm7sf2"
"Q71KU9","Fgl1","Fgl1 Mfire1"
"Q71M36","Cspg5","Cspg5 Caleb Ngc"
"Q71MR7","Fpr-rs7","Fpr-rs7"
"Q71RI9","Kyat3","Kyat3 Ccbl2 Kat3"
"Q75N73","Slc39a14","Slc39a14 Fad123 Kiaa0062 Zip14"
"Q75NR7","Recql4","Recql4 Recq4"
"Q75UR0","Ano5","Ano5 Gdd1 Tmem16e"
"Q761V0","Slc6a5","Slc6a5 Glyt2"
"Q765H6","Mgat5b","Mgat5b"
"Q768S4","Rph3al","Rph3al Gm1753 Noc2"
"Q769J6","Adamts13","Adamts13 Gm710"
"Q76HL1","Prss43","Prss43 Tessp3"
"Q76I79","Ssh1","Ssh1 Kiaa1298 Ssh1l"
"Q76JU9","Ffar1","Ffar1 Gpr40"
"Q76K27","St6gal2","St6gal2 Kiaa1877"
"Q76KF0","Sema6d","Sema6d Kiaa1479"
"Q76KJ5","Polr1g","Polr1g Ase1 Cd3eap Paf49"
"Q76LL6","Fhod3","Fhod3 Fhos2 Kiaa1695"
"Q76LW6","Dand5","Dand5 Cerl2 Sp1"
"Q76M72","Slc22a27","Slc22a27 Oat9"
"Q76MZ3","Ppp2r1a","Ppp2r1a"
"Q78DX7","Ros1","Ros1 Ros Ros-1"
"Q78IQ7","Slc39a4","Slc39a4 Zip4"
"Q78J03","Msrb2","Msrb2"
"Q78JE5","Fbxo22","Fbxo22 Fbx22"
"Q78JN3","Eci3","Eci3"
"Q78JT3","Haao","Haao"
"Q78PY7","Snd1","Snd1"
"Q78T81","Eeig1","Eeig1 Fam102a"
"Q78TU8","Fam107a","Fam107a"
"Q78YY6","Dnajc15","Dnajc15 Dnajd1"
"Q791V5","Mtch2","Mtch2 Mimp"
"Q793I8","Tifa","Tifa T2bp"
"Q7JJ13","Brd2","Brd2 Fsrg1 Kiaa4005 Ring3"
"Q7M6U3","Tex14","Tex14"
"Q7M6Y2","Sox11","Sox11 Sox-11"
"Q7M6Y3","Picalm","Picalm Calm Fit1"
"Q7M6Y5","Deup1","Deup1 Ccdc67"
"Q7M6Y6","Mroh2b","Mroh2b Heatr7b2"
"Q7M6Z0","Rtn4rl2","Rtn4rl2 Ngrl3"
"Q7M6Z4","Kif27","Kif27"
"Q7M729","Scn4b","Scn4b Gm1471"
"Q7M732","Rtl1","Rtl1 Mar1 Mart1 Peg11"
"Q7M750","Opalin","Opalin Tmem10"
"Q7M753","Pank2","Pank2"
"Q7M759","Abhd17b","Abhd17b"
"Q7M760","Zranb1","Zranb1 Trabid"
"Q7M761","Ovch2","Ovch2 Ovtn"
"Q7M764","Usp17le","Usp17le Dub3 Dub6 Usp17 Usp17l2"
"Q7SIG6","Asap2","Asap2 Ddef2 Gm1523 Gm592"
"Q7TMA4","Ffar4","Ffar4 Gpr120 O3far1"
"Q7TMB3","Ppp1r3c","Ppp1r3c Ppp1r5"
"Q7TMB8","Cyfip1","Cyfip1 Kiaa0068 Shyc Sra1"
"Q7TMD7","Dsg4","Dsg4"
"Q7TME0","Plppr4","Plppr4 D3Bwg0562e Kiaa0455 Lppr4 Php1 Prg1"
"Q7TME2","Spag5","Spag5"
