"pid","gene","genes"
"Q9JLN9","Mtor","Mtor Frap Frap1"
"Q9JLQ0","Cd2ap","Cd2ap Mets1"
"Q9JLQ2","Git2","Git2"
"Q9JLR5","Tcf23","Tcf23 Out"
"Q9JLR9","Higd1a","Higd1a Hig1"
"Q9JLT4","Txnrd2","Txnrd2 Trxr2"
"Q9JLV1","Bag3","Bag3 Bis MNCb-2243"
"Q9JLV2","Trpc4ap","Trpc4ap Trrp4ap"
"Q9JLV5","Cul3","Cul3"
"Q9JLV6","Pnkp","Pnkp"
"Q9JLY0","Socs6","Socs6 Cis4 Cish4 Socs4"
"Q9JLZ3","Auh","Auh"
"Q9JLZ8","Sigirr","Sigirr Tir8"
"Q9JM05","Pias4","Pias4 Piasg"
"Q9JM13","Rabgef1","Rabgef1 Rabex5"
"Q9JM14","Nt5c","Nt5c Dnt1"
"Q9JM51","Ptges","Ptges Pges"
"Q9JM52","Mink1","Mink1 Map4k6 Mink"
"Q9JM54","Pmaip1","Pmaip1 Noxa"
"Q9JM58","Crlf1","Crlf1 Crlm3"
"Q9JM61","Thsd1","Thsd1 Tmtsp"
"Q9JM62","Reep6","Reep6 Dp1l1 Tb2l1"
"Q9JM63","Kcnj10","Kcnj10"
"Q9JM71","Klk1b27","Klk1b27 Klk-27 Klk27"
"Q9JM73","Srf","Srf"
"Q9JM84","Cst10","Cst10 DD72"
"Q9JM90","Stap1","Stap1"
"Q9JM95","St6galnac6","St6galnac6 Siat7f"
"Q9JM96","Cdc42ep4","Cdc42ep4 Borg4 Cep4"
"Q9JM99","Prg4","Prg4 Msf Szp"
"Q9JMA1","Usp14","Usp14"
"Q9JMA2","Qtrt1","Qtrt1 Tgt Tgut"
"Q9JMA7","Cyp3a41a","Cyp3a41a Cyp3a41; Cyp3a41b"
"Q9JMA9","Slc6a14","Slc6a14"
"Q9JMB0","Gkap1","Gkap1 Gkap42"
"Q9JMB1","Spmap2","Spmap2 Theg"
"Q9JMB7","Piwil1","Piwil1 Miwi"
"Q9JMB8","Cntn6","Cntn6"
"Q9JMC8","Epb41l4b","Epb41l4b Ehm2 Epb4.1l4b Lulu2"
"Q9JMD0","Znf207","Znf207 Bugz Zep Zfp207"
"Q9JMD3","Stard10","Stard10 Pctpl Sdccag28 Sdccagg28"
"Q9JME2","Chst11","Chst11"
"Q9JME5","Ap3b2","Ap3b2"
"Q9JMG3","Tmub1","Tmub1 Hops"
"Q9JMG7","Hdgfl3","Hdgfl3 Hdgfrp3"
"Q9JMH3","Neu2","Neu2"
"Q9JMH6","Txnrd1","Txnrd1 Trxr1"
"Q9JMH7","Neu3","Neu3"
"Q9JMH9","Myo18a","Myo18a Myspdz"
"Q9JMI0","Ecel1","Ecel1 Dine Xce"
"Q9JMI7","Tex101","Tex101"
"Q9JMK0","B4galt5","B4galt5 Bgt-5"
"Q9JMK2","Csnk1e","Csnk1e"
"Q9NYQ2","Hao2","Hao2 Hao3 Haox2"
"Q9QUG2","Polk","Polk Dinb1"
"Q9QUG3","Prnd","Prnd"
"Q9QUG9","Rasgrp2","Rasgrp2"
"Q9QUH0","Glrx","Glrx Glrx1 Grx Grx1"
"Q9QUI0","Rhoa","Rhoa Arha Arha2"
"Q9QUI1","Fam89b","Fam89b C184m Lrap25 Mtvr2"
"Q9QUI6","Ackr1","Ackr1 Darc Dfy Fy"
"Q9QUJ0","Hcst","Hcst Dap10 Kap10"
"Q9QUJ7","Acsl4","Acsl4 Acs4 Facl4"
"Q9QUK3","Cln8","Cln8"
"Q9QUK4","Naip2","Naip2 Birc1b Naip-rs6"
"Q9QUK6","Tlr4","Tlr4 Lps"
"Q9QUK9","Try5","Try5 Tc Tesp4"
"Q9QUL3","Pla2g2e","Pla2g2e"
"Q9QUM0","Itga2b","Itga2b"
"Q9QUM4","Slamf1","Slamf1 Slam"
"Q9QUM9","Psma6","Psma6"
"Q9QUN3","Blnk","Blnk Bash Ly57 Slp65"
"Q9QUN7","Tlr2","Tlr2"
"Q9QUP4","Chst5","Chst5 Gst4"
"Q9QUQ5","Trpc4","Trpc4 Trrp4"
"Q9QUR7","Pin1","Pin1"
"Q9QUR8","Sema7a","Sema7a Cd108 Semal Semk1"
"Q9QUS4","Hey2","Hey2 Chf1 Herp Herp1 Hesr2 Hrt2"
"Q9QUS6","Mid2","Mid2 Fxy2 Trim1"
"Q9QUT0","Rhag","Rhag Rh50"
"Q9QVN7","Tcea2","Tcea2"
"Q9QVP9","Ptk2b","Ptk2b Fak2 Pyk2 Raftk"
"Q9QWG7","Sult1b1","Sult1b1"
"Q9QWH1","Phc2","Phc2 Edr2 Ph2"
"Q9QWI6","Srcin1","Srcin1 Kiaa1684 P140"
"Q9QWK4","Cd5l","Cd5l Aim Api6"
"Q9QWK5","Naip1","Naip1 Birc1a Naip"
"Q9QWL7","Krt17","Krt17 Krt1-17"
"Q9QWT9","Kifc1","Kifc1 Kifc4 Kifc5a Kifc5b"
"Q9QWV4","Mlf1","Mlf1 Hls7"
"Q9QWV9","Ccnt1","Ccnt1"
"Q9QWW1","Homer2","Homer2 Vesl2"
"Q9QWY8","Asap1","Asap1 Ddef1 Kiaa1249 Shag1"
"Q9QX11","Cyth1","Cyth1 Pscd1"
"Q9QX15","Clca3a1","Clca3a1 Clca1"
"Q9QX29","Trpc5","Trpc5 Trp5 Trrp5"
"Q9QX47","Son","Son Nrebp"
"Q9QX60","Dguok","Dguok Dgk"
"Q9QX66","Dpf1","Dpf1 Baf45b Neud4"
"Q9QX96","Sall2","Sall2 Sal2"
"Q9QX98","Ptf1a","Ptf1a Ptf1p48"
"Q9QXA6","Slc7a9","Slc7a9 Bat1"
"Q9QXC1","Fetub","Fetub"
"Q9QXD1","Acox2","Acox2"
"Q9QXD6","Fbp1","Fbp1 Fbp Fbp3"
"Q9QXD8","Limd1","Limd1"
"Q9QXE0","Hacl1","Hacl1 Hpcl Phyh2"
"Q9QXE2","Poll","Poll Polk"
"Q9QXE4","Trp53inp1","Trp53inp1 Sip"
"Q9QXE7","Tbl1x","Tbl1x Tbl1"
"Q9QXF8","Gnmt","Gnmt"
"Q9QXG4","Acss2","Acss2 Acas2 Acecs1"
"Q9QXG9","Tinf2","Tinf2 Tin2"
"Q9QXH4","Itgax","Itgax"
"Q9QXJ1","Apbb1","Apbb1 Fe65 Rir"
"Q9QXK2","Rad18","Rad18 Rad18sc"
"Q9QXK3","Copg2","Copg2"
"Q9QXK7","Cpsf3","Cpsf3 Cpsf73"
"Q9QXK8","Nmu","Nmu"
"Q9QXK9","Sh2d2a","Sh2d2a Lad Ribp"
"Q9QXL1","Kif21b","Kif21b Kif6"
"Q9QXL2","Kif21a","Kif21a Kiaa1708"
"Q9QXL8","Nme7","Nme7"
"Q9QXM0","Abhd2","Abhd2 Labh-2 Labh2"
"Q9QXM1","Jmy","Jmy"
"Q9QXN0","Shroom3","Shroom3 Kiaa1481 Shrm"
"Q9QXN3","Trip4","Trip4"
