,CellType,Protein,Corr
370,PCC,nan_O76011,-0.06124463585658164
371,PCC,nan_O76013,0.3639289908438992
372,PCC,nan_O76014,-0.19675214223953094
373,PCC,nan_O76015,0.07832250482520682
374,PCC,Ttc3_O88196,0.12701577201458467
375,PCC,Col5a1_O88207,0.11539347580295876
376,PCC,Agr2_O88312,0.863834657614751
377,PCC,Nid2_O88322,0.2127196256398734
378,PCC,nan_O88325,0.16044682200149385
379,PCC,Wdr1_O88342,0.2929567054688894
380,PCC,Ikbkb_O88351,0.12722434286119608
381,PCC,Avil_O88398,0.6295176308174207
382,PCC,Dhcr7_O88455,0.03879567888852026
383,PCC,Capns1_O88456,0.0487715376649884
384,PCC,Dync1i2_O88487,0.12306745693752832
385,PCC,Nsd1_O88491,0.0027157525527570676
386,PCC,Ppt1_O88531,0.22884648115408637
387,PCC,Cops3_O88543,0.16428760500057765
388,PCC,Cops4_O88544,0.10712843493551563
389,PCC,Cops6_O88545,0.0708007739200066
390,PCC,Hnrnpa2b1_O88569,0.061133451821065235
391,PCC,Comt_O88587,0.05289134629181696
392,PCC,Pglyrp1_O88593,0.5705622983010711
393,PCC,Parg_O88622,0.13048777818545626
394,PCC,Usp2_O88623,0.06475181219600923
395,PCC,Pak1_O88643,0.3598484588640211
396,PCC,Lamtor3_O88653,0.13789536979801287
397,PCC,Creg1_O88668,0.10069094137411733
398,PCC,Dgka_O88673,0.1659790777160308
399,PCC,Psmc3_O88685,0.30886618287846046
400,PCC,Ctbp1_O88712,0.4608278156079577
401,PCC,Map7_O88735,0.0786922924616263
402,PCC,Tom1_O88746,-0.01685507981181259
403,PCC,F5_O88783,0.3833216672999883
404,PCC,Rpp30_O88796,0.03422145797958891
405,PCC,Idh1_O88844,0.47610191615477343
406,PCC,Apaf1_O88879,0.021557057188265345
407,PCC,Soat2_O88908,-0.1320032489307525
408,PCC,Lin7c_O88952,0.015428722633606716
409,PCC,Gnpda1_O88958,0.06539300443560947
410,PCC,Yme1l1_O88967,0.13283631934208973
411,PCC,Stx8_O88983,0.09029481074601609
412,PCC,Olfm1_O88998,0.051112051581620466
413,PCC,Leprot_O89013,0.1639307327279627
414,PCC,Lgmn_O89017,0.09039554423291693
415,PCC,Tpp1_O89023,0.1683332114047208
416,PCC,Sh3pxd2a_O89032,0.10961724263155158
417,PCC,Coro1a_O89053,-0.1521224350134874
418,PCC,Cope_O89079,0.2797161919759142
419,PCC,Rbm3_O89086,0.4228794515356673
420,PCC,Casp14_O89094,-0.05873482357979818
421,PCC,Casp8_O89110,-0.10368179721079343
422,PCC,Lancl1_O89112,0.19636084246498525
423,PCC,nan_O95678,-0.17421330100706026
424,PCC,Mt-Cyb_P00158,0.28175962991951337
425,PCC,Adh1_P00329,-0.2152688420780605
426,PCC,Mtco1_P00397,0.3893062685294771
427,PCC,Mtco2_P00405,0.4106937680939533
428,PCC,Hprt1_P00493,0.355650995702673
429,PCC,Amy2a5_P00688,0.2574709267029098
430,PCC,nan_P00761,0.09653525760256643
431,PCC,Ca2_P00920,0.3975012969641319
432,PCC,C3_P01027,0.3950497702352052
433,PCC,C4b_P01029,0.0605465799631658
434,PCC,nan_P01044,0.15299510445973655
435,PCC,Jchain_P01592,-0.15081356488595146
436,PCC,Igkv6-17_P01633,-0.0811414796281531
437,PCC,nan_P01657,-0.02664594372659965
438,PCC,nan_P01725,-0.09808508034108301
439,PCC,nan_P01786,0.09638024399581416
440,PCC,Thy1_P01831,0.4177970115700468
441,PCC,Igkc_P01837,0.030018451734129568
442,PCC,Ighg2b_P01867,0.23685031683654897
443,PCC,Ighm_P01872,-0.0010494373127347063
444,PCC,B2m_P01887,-0.22673556330096262
445,PCC,H2-L_P01897,-0.25000902453153284
446,PCC,H2-K1_P01901,-0.21444645831304274
447,PCC,Hba_P01942,0.036817599088004374
448,PCC,nan_P01966,-0.037293788832452185
449,PCC,Col4a1_P02463,0.3890587345182981
450,PCC,Lamc1_P02468,0.09133028580757933
451,PCC,Lamb1_P02469,0.4553701360054594
452,PCC,nan_P02533,-0.22579365192542872
453,PCC,Krt10_P02535,0.15411329301731136
454,PCC,nan_P02538,-0.13691155672103944
455,PCC,nan_P02662,0.14830672342550735
456,PCC,nan_P02663,0.18043775419969327
457,PCC,nan_P02666,0.07502789554147557
458,PCC,nan_P02668,0.12804243212652933
459,PCC,nan_P02676,0.021424496566962013
460,PCC,nan_P02754,0.026145224273010977
461,PCC,nan_P02768,-0.09118902043671716
462,PCC,nan_P02769,-0.023266380464581873
463,PCC,Mt2_P02798,0.0475059827965928
464,PCC,Mtnd1_P03888,0.20585354065864178
465,PCC,Mtnd4_P03911,0.15319478027106798
466,PCC,Mtatp8_P03930,0.45973228780346476
467,PCC,Ada_P03958,0.10382604555435307
468,PCC,Krt1_P04104,-0.21729431257330586
469,PCC,Fabp4_P04117,-0.003296114795875993
470,PCC,Cfb_P04186,0.5620670990790076
471,PCC,nan_P04258,0.20961040889309782
472,PCC,nan_P04259,-0.1626048467616554
473,PCC,nan_P04264,-0.16796154159917698
474,PCC,Cd74_P04441,-0.1465026659750852
475,PCC,Hbb-bh0_P04443,-0.014420419516844344
476,PCC,Araf_P04627,0.15521236808920685
477,PCC,Prnp_P04925,0.12674752637746942
478,PCC,Aldoc_P05063,0.09952768087655706
479,PCC,Aldoa_P05064,0.38713412992751317
480,PCC,Prkaca_P05132,0.04412271413249993
481,PCC,Got1_P05201,0.3635005154565657
482,PCC,Got2_P05202,0.46315250731313423
483,PCC,Tuba1b_P05213,0.35115297284613345
484,PCC,Tuba3a_P05214,0.26207750680133934
485,PCC,Src_P05480,0.24701931739338548
486,PCC,Krt18_P05784,0.596150224042966
487,PCC,nan_P05787,0.6215980550300132
488,PCC,Myl1_P05977,0.1127672333401436
489,PCC,Ldha_P06151,0.3642515744272887
490,PCC,nan_P06344,-0.1901001841747995
491,PCC,Apoa4_P06728,0.21035318188547383
492,PCC,Gpi_P06745,0.33816468383547676
493,PCC,Abcb1b_P06795,0.0007112711722673732
494,PCC,Ctsl_P06797,0.11920700629854358
495,PCC,Ptprc_P06800,-0.20188756262708385
496,PCC,Me1_P06801,0.34789062351339867
497,PCC,Enpp1_P06802,0.03575710075793973
498,PCC,nan_P06868,0.05485158096398362
499,PCC,Cfh_P06909,0.5692934291049566
500,PCC,S100a4_P07091,-0.16835620839929155
501,PCC,Csf1_P07141,-0.14166301774652412
502,PCC,Ckm_P07310,0.06086491923240946
503,PCC,Anxa2_P07356,0.5221908195826502
504,PCC,nan_P07477,0.07000007433569226
505,PCC,Alb_P07724,0.40916036076555135
506,PCC,Krt4_P07744,0.07213757349224643
507,PCC,Serpina1a_P07758,0.40954429104710416
508,PCC,Serpina3k_P07759,0.3981188479193055
509,PCC,Hsp90aa1_P07901,0.2792552139414227
510,PCC,Pdia4_P08003,0.19854074990712572
511,PCC,Aprt_P08030,0.37548211274501
512,PCC,Ltf_P08071,0.08333081183646415
513,PCC,Fcgr2_P08101,-0.09389486934181387
514,PCC,Hsp90b1_P08113,0.17926806054479535
515,PCC,Col3a1_P08121,0.20231069161071885
516,PCC,Col4a2_P08122,0.34424837665324026
517,PCC,S100a10_P08207,0.026751459865995416
518,PCC,Apoe_P08226,0.17520781333222807
519,PCC,Sod1_P08228,0.30699075632431544
520,PCC,Mdh2_P08249,0.4504646135824666
521,PCC,Fcgr3_P08508,-0.12233433096781239
522,PCC,Nefl_P08551,0.1971229701436953
523,PCC,Nefm_P08553,-0.01631231081055988
524,PCC,Nras_P08556,0.177972365279384
525,PCC,nan_P08727,0.5349633983441047
526,PCC,nan_P08729,0.11603818311759544
527,PCC,Krt13_P08730,-0.018868683060684916
528,PCC,Gnai2_P08752,0.20128858605868172
529,PCC,nan_P08779,-0.1874601573332667
530,PCC,Lyz2_P08905,0.07459352430721267
531,PCC,Pgk2_P09041,0.014138573038181659
532,PCC,Itgb1_P09055,0.19817619242545872
533,PCC,P4hb_P09103,0.42057490095026584
534,PCC,Ncl_P09405,0.336382025698401
535,PCC,Pgk1_P09411,0.28416722245154374
536,PCC,Ace_P09470,0.24286880857830256
537,PCC,Fth1_P09528,0.19103237170318924
538,PCC,Csf1r_P09581,0.20351550180789144
539,PCC,Hmgn2_P09602,-0.08859261263952607
